"player_name","season","pts"
Carmelo Anthony,"2003-04",21.0
LeBron James,"2003-04",20.9
Dwyane Wade,"2003-04",16.2
Kirk Hinrich,"2003-04",12.0
Chris Bosh,"2003-04",11.5
Jarvis Hayes,"2003-04",9.6
Josh Howard,"2003-04",8.6
Leandro Barbosa,"2003-04",7.9
T.J. Ford,"2003-04",7.1
Willie Green,"2003-04",6.9
Keith Bogans,"2003-04",6.8
Chris Kaman,"2003-04",6.1
Steve Blake,"2003-04",5.9
Marcus Banks,"2003-04",5.9
Luke Ridnour,"2003-04",5.5
Mickael Pietrus,"2003-04",5.3
Mo Williams,"2003-04",5.0
Sasha Pavlovic,"2003-04",4.8
Maciej Lampe,"2003-04",4.6
Boris Diaw,"2003-04",4.5
Kyle Korver,"2003-04",4.5
Brian Cook,"2003-04",4.4
Michael Sweetney,"2003-04",4.3
Zarko Cabarkapa,"2003-04",4.1
David West,"2003-04",3.8
Brandon Hunter,"2003-04",3.5
Jason Kapono,"2003-04",3.5
Zaza Pachulia,"2003-04",3.3
Zoran Planinic,"2003-04",3.1
Travis Hansen,"2003-04",3.0
Luke Walton,"2003-04",2.4
Kendrick Perkins,"2003-04",2.2
Dahntay Jones,"2003-04",1.8
Reece Gaines,"2003-04",1.8
Troy Bell,"2003-04",1.8
Darko Milicic,"2003-04",1.4
James Jones,"2003-04",1.2
Jerome Beasley,"2003-04",1.0
Travis Outlaw,"2003-04",1.0
Ndudi Ebi,"2003-04",0.8
Slavko Vranes,"2003-04",0.0
