"player_name","season","pts","reb","ast","ts_pct","mvp_score"
Nikola Jokic,"2022-23",24.5,11.8,9.8,0.701,37.3
James Harden,"2018-19",36.1,6.6,7.5,0.616,37.2
Nikola Jokic,"2021-22",27.1,13.8,7.9,0.6609999999999999,37.2
Joel Embiid,"2022-23",33.1,10.2,4.2,0.655,37.2
James Harden,"2019-20",34.3,6.6,7.5,0.626,36.7
Giannis Antetokounmpo,"2021-22",29.9,11.6,5.8,0.633,36.2
Luka Doncic,"2022-23",32.4,8.6,8.0,0.609,36.2
Giannis Antetokounmpo,"2019-20",29.5,13.6,5.6,0.613,36.0
Giannis Antetokounmpo,"2018-19",27.7,12.5,5.9,0.644,35.9
Damian Lillard,"2022-23",32.2,4.8,7.3,0.645,35.9
