"season","rank_num","player_name","pts","games_played"
"2022-23",1,Joel Embiid,33.1,66
"2022-23",2,Luka Doncic,32.4,66
"2022-23",3,Damian Lillard,32.2,58
"2021-22",1,Joel Embiid,30.6,68
"2021-22",2,LeBron James,30.3,56
"2021-22",3,Giannis Antetokounmpo,29.9,67
"2021-22",3,Kevin Durant,29.9,55
"2020-21",1,Stephen Curry,32.0,63
"2020-21",2,Bradley Beal,31.3,60
"2020-21",3,Damian Lillard,28.8,67
"2019-20",1,James Harden,34.3,68
"2019-20",2,Bradley Beal,30.5,57
"2019-20",3,Damian Lillard,30.0,66
"2018-19",1,James Harden,36.1,78
"2018-19",2,Paul George,28.0,77
"2018-19",3,Giannis Antetokounmpo,27.7,72
"2017-18",1,James Harden,30.4,72
"2017-18",2,Anthony Davis,28.1,75
"2017-18",3,LeBron James,27.5,82
"2016-17",1,Russell Westbrook,31.6,81
"2016-17",2,James Harden,29.1,81
"2016-17",3,Isaiah Thomas,28.9,76
"2015-16",1,Stephen Curry,30.1,79
"2015-16",2,James Harden,29.0,82
"2015-16",3,Kevin Durant,28.2,72
"2014-15",1,Russell Westbrook,28.1,67
"2014-15",2,James Harden,27.4,81
"2014-15",3,Kevin Durant,25.4,27
"2013-14",1,Kevin Durant,32.0,81
"2013-14",2,Carmelo Anthony,27.4,77
"2013-14",3,LeBron James,27.1,77
"2012-13",1,Carmelo Anthony,28.7,67
"2012-13",2,Kevin Durant,28.1,81
"2012-13",3,Kobe Bryant,27.3,78
"2011-12",1,Kevin Durant,28.0,66
"2011-12",2,Kobe Bryant,27.9,58
"2011-12",3,LeBron James,27.1,62
"2010-11",1,Kevin Durant,27.7,78
"2010-11",2,LeBron James,26.7,79
"2010-11",3,Carmelo Anthony,25.6,77
"2009-10",1,Kevin Durant,30.1,82
"2009-10",2,LeBron James,29.7,76
"2009-10",3,Carmelo Anthony,28.2,69
"2008-09",1,Dwyane Wade,30.2,79
"2008-09",2,LeBron James,28.4,81
"2008-09",3,Kobe Bryant,26.8,82
"2007-08",1,LeBron James,30.0,75
"2007-08",2,Kobe Bryant,28.3,82
"2007-08",3,Allen Iverson,26.4,82
"2006-07",1,Kobe Bryant,31.6,77
"2006-07",2,Carmelo Anthony,28.9,65
"2006-07",3,Gilbert Arenas,28.4,74
"2005-06",1,Kobe Bryant,35.4,80
"2005-06",2,Allen Iverson,33.0,72
"2005-06",3,LeBron James,31.4,79
"2004-05",1,Allen Iverson,30.7,75
"2004-05",2,Kobe Bryant,27.6,66
"2004-05",3,LeBron James,27.2,80
"2003-04",1,Tracy McGrady,28.0,67
"2003-04",2,Allen Iverson,26.4,48
"2003-04",3,Kevin Garnett,24.2,82
"2003-04",3,Peja Stojakovic,24.2,81
"2002-03",1,Tracy McGrady,32.1,75
"2002-03",2,Kobe Bryant,30.0,82
"2002-03",3,Allen Iverson,27.6,82
"2001-02",1,Allen Iverson,31.4,60
"2001-02",2,Shaquille O'Neal,27.2,67
"2001-02",3,Paul Pierce,26.1,82
"2000-01",1,Allen Iverson,31.1,71
"2000-01",2,Jerry Stackhouse,29.8,80
"2000-01",3,Shaquille O'Neal,28.7,74
"1999-00",1,Shaquille O'Neal,29.7,79
"1999-00",2,Allen Iverson,28.4,70
"1999-00",3,Grant Hill,25.8,74
"1998-99",1,Allen Iverson,26.8,48
"1998-99",2,Shaquille O'Neal,26.3,49
"1998-99",3,Karl Malone,23.8,49
"1997-98",1,Michael Jordan,28.7,82
"1997-98",2,Shaquille O'Neal,28.3,60
"1997-98",3,Karl Malone,27.0,81
"1996-97",1,Michael Jordan,29.6,82
"1996-97",2,Karl Malone,27.4,82
"1996-97",3,Glen Rice,26.8,79
